iter	Passed	Remaining
180	8468	38318
181	8524	38312
182	8572	38271
183	8616	38213
184	8664	38172
185	8711	38125
186	8760	38087
187	8811	38057
188	8868	38056
189	8917	38016
190	8964	37968
191	9003	37889
192	9051	37847
193	9096	37794
194	9131	37697
195	9176	37643
196	9221	37588
197	9267	37536
198	9305	37455
199	9347	37391
200	9389	37325
201	9436	37280
202	9477	37210
203	9531	37190
204	9580	37154
205	9631	37122
206	9689	37120
207	9766	37189
208	9820	37167
209	9868	37123
210	9913	37071
211	9968	37052
212	10021	37027
213	10071	36990
214	10120	36951
215	10162	36885
216	10204	36822
217	10256	36791
218	10309	36764
219	10366	36754
220	10422	36739
221	10460	36657
222	10507	36612
223	10555	36566
224	10586	36463
225	10635	36425
226	10683	36379
227	10727	36321
228	10774	36274
229	10819	36223
230	10868	36181
231	10913	36128
232	10964	36094
233	11014	36057
234	11059	36001
235	11103	35945
236	11141	35869
237	11191	35830
238	11234	35771
239	11274	35701
240	11318	35644
241	11363	35592
242	11412	35552
243	11462	35516
244	11513	35478
245	11555	35419
246	11608	35390
247	11663	35365
248	11709	35315
249	11748	35246
250	11787	35173
251	11840	35145
252	11888	35102
253	11932	35044
254	11980	35002
255	12029	34961
256	12082	34931
257	12130	34887
258	12174	34830
259	12222	34788
260	12268	34737
261	12318	34698
262	12357	34629
263	12392	34548
264	12438	34498
265	12482	34445
266	12527	34392
267	12569	34330
268	12621	34298
269	12659	34228
270	12706	34181
271	12754	34137
272	12802	34092
273	12843	34031
274	12891	33986
275	12933	33927
276	12984	33890
277	13031	33844
278	13077	33794
279	13122	33743
280	13167	33692
281	13211	33637
282	13260	33597
283	13314	33567
284	13363	33524
285	13410	33478
286	13440	33390
287	13484	33335
288	13535	33299
289	13584	33259
290	13629	33207
291	13676	33160
292	13715	33094
293	13751	33021
294	13791	32959
295	13833	32902
296	13868	32825
297	13902	32750
298	13948	32701
299	13991	32646
300	14039	32602
301	14084	32551
302	14132	32509
303	14174	32452
304	14219	32402
305	14269	32363
306	14311	32305
307	14355	32253
308	14406	32216
309	14453	32170
310	14485	32091
311	14530	32041
312	14565	31970
313	14616	31932
314	14669	31900
315	14713	31848
316	14765	31813
317	14819	31783
318	14864	31731
319	14895	31652
320	14940	31602
321	14994	31572
322	15045	31535
323	15090	31484
324	15139	31444
325	15186	31398
326	15237	31360
327	15290	31326
328	15337	31281
329	15385	31236
330	15426	31179
331	15473	31132
332	15524	31095
333	15559	31024
334	15610	30987
335	15655	30937
336	15699	30886
337	15732	30813
338	15771	30752
339	15823	30715
340	15875	30681
341	15922	30633
342	15962	30575
343	16011	30532
344	16062	30496
345	16114	30458
346	16154	30400
347	16191	30336
348	16242	30296
349	16292	30257
350	16333	30200
351	16389	30171
352	16439	30131
353	16481	30076
354	16529	30031
355	16578	29989
356	16623	29941
357	16674	29902
358	16722	29858
359	16772	29817
360	16821	29775
361	16855	29707
362	16901	29658
363	16945	29608
364	16991	29560
365	17036	29511
366	17080	29461
367	17125	29410
368	17172	29365
369	17222	29324
370	17263	29268
371	17317	29234
372	17358	29178
373	17407	29136
374	17454	29090
375	17505	29050
376	17557	29014
377	17609	28977
378	17660	28937
379	17709	28894
380	17761	28857
381	17807	28809
382	17853	28761
383	17903	28720
384	17955	28681
385	18007	28643
386	18051	28592
387	18098	28547
388	18154	28514
389	18201	28468
390	18252	28429
391	18296	28377
392	18346	28337
393	18394	28292
394	18440	28244
395	18480	28187
396	18529	28144
397	18571	28089
398	18618	28045
399	18666	27999
400	18710	27948
