iter	MAE	RMSE
441	942208.3305	1685705.938
442	942188.4579	1685599.806
443	942113.9359	1685481.384
444	941473.2967	1684835.344
445	941301.5265	1684612.381
446	941226.5148	1684327.851
447	940688.0503	1683779.964
448	940613.8485	1683589.091
449	940603.8598	1683536.049
450	940005.6209	1682787.004
451	939712.2855	1682243.766
452	939665.2292	1682113.189
453	939565.0638	1681876.612
454	939419.4484	1681605.939
455	938606.334	1680369.301
456	937970.2709	1679892.925
457	937621.5752	1679449.425
458	937616.7955	1679403.893
459	937564.8556	1679287.227
460	937360.2148	1678725.231
461	937356.2863	1678682.964
462	937212.6508	1678486.174
463	936728.868	1677767.326
464	936675.9137	1677446.85
465	936391.5156	1676991.729
466	936127.2304	1676619.679
467	936095.3625	1676549.093
468	935736.977	1676260.219
469	935232.1789	1675436.075
470	935151.9864	1675234.029
471	934767.5434	1674660.025
472	934697.4675	1674492.213
473	934577.9938	1674258.378
474	933843.8496	1673255.006
475	933836.5171	1673211.079
476	933802.8822	1673019.539
477	933668.6119	1672788.006
478	933654.7168	1672682.943
479	933130.4137	1672377.9
480	933041.4143	1672059.445
481	932717.8287	1671653.611
482	932633.0318	1671485.723
483	932213.5807	1670764.563
484	931615.347	1669769.603
485	931372.9947	1669388.209
486	931324.9974	1669222.326
487	931126.7812	1668630.959
488	931018.9835	1668482.226
489	930862.158	1668173.351
490	930786.2446	1667840.592
491	930774.3027	1667743.393
492	930468.1312	1667281.588
493	930062.7399	1666656.963
494	930014.6341	1666450.752
495	929968.3087	1666237.128
496	929637.1977	1665844.149
497	929267.9075	1665441.716
498	928789.4303	1665060.129
499	928696.3507	1664923.142
500	928674.1407	1664695.874
501	928580.0242	1664357.55
502	928560.9111	1664145.426
503	928530.2832	1664000.627
504	928431.6855	1663696.928
505	928349.2037	1663341.159
506	928224.292	1662946.209
507	927886.3465	1662328.956
508	927693.9945	1662026.884
509	927471.3191	1661734.114
510	926609.8661	1661003.93
511	926541.3474	1660765.679
512	926480.4692	1660598.469
513	926258.4467	1660374.253
514	926118.0496	1659850.244
515	926058.5346	1659654.146
516	926006.2079	1659332.201
517	925709.3976	1658952.575
518	925657.4962	1658808.023
519	925570.956	1658677.426
520	925556.1782	1658606.591
521	925262.2775	1658184.954
522	925140.1416	1657919.396
523	924547.867	1657298.254
524	924485.5869	1657153.537
525	924479.5531	1657081.326
526	924401.0019	1656946.902
527	924342.9569	1656745.713
528	923976.3693	1656043.694
529	923918.2781	1655780.124
530	923672.7372	1655227.703
531	923647.48	1655103.632
532	923407.2332	1654651.202
533	923309.8369	1654331.353
534	923282.9038	1654225.638
535	923087.0774	1653755.648
536	923044.3276	1653465.765
537	922286.0667	1652817.135
538	921803.0101	1652476.4
539	921656.0713	1652232.414
540	921634.3688	1652023.027
541	921386.6472	1651398.518
542	920924.4938	1650581.894
543	920655.3426	1650332.017
544	920593.0341	1650249.469
545	920465.5089	1650044.939
546	920401.2445	1649869.862
547	920267.6546	1649656.529
548	919756.6568	1649116.576
549	919442.6135	1648707.344
550	918972.2672	1648337.368
551	918545.1977	1647806.014
552	918489.3276	1647624.051
553	918401.8072	1647304.757
554	918388.1269	1647242.324
555	917959.3206	1646910.552
556	917879.7304	1646727.56
557	917873.8664	1646694.649
558	917805.4003	1646447.94
559	917776.2268	1646214.838
560	917460.1055	1645897.199
561	917211.0131	1645197.593
562	917044.3746	1644932.792
563	916959.8891	1644611.527
564	916764.5905	1644236.197
565	916690.7585	1643944.984
566	916564.7411	1643562.882
567	916213.1912	1643060
568	916194.6949	1642990.896
569	915968.1911	1642682.38
570	915878.6062	1642266.828
571	915841.4026	1642138.248
572	915415.5162	1641635.847
573	915199.5047	1641187.096
574	915086.5727	1641064.39
575	914834.1596	1640793.232
576	914544.5766	1640267.448
577	914421.4065	1639941.991
578	914376.1294	1639709.485
579	914155.3483	1639374.187
580	914092.7215	1639142.112
581	914041.165	1638976.491
582	913476.3428	1638415.272
583	913319.6235	1638172.563
584	913268.632	1638035.81
585	913030.4294	1637610.546
586	912974.8079	1637289.433
587	912963.696	1637247.997
588	912925.2458	1637008.795
589	912915.4998	1636958.367
590	912340.6729	1636536.307
591	912337.2518	1636507.676
592	912184.1619	1636101.915
593	911935.7026	1635832.551
594	911817.1279	1635390.897
595	911788.1732	1635298.691
596	911607.1056	1634976.253
597	911096.4477	1634595.619
598	911082.1894	1634539.75
599	910875.3388	1634368.989
600	910756.7104	1634018.477
601	910652.9042	1633677.876
602	910509.183	1633552.44
603	910213.1632	1633020.056
604	910002.6976	1632823.187
605	909901.5891	1632674.765
606	909599.5222	1632335.385
607	909590.0801	1632282.546
608	909504.5066	1631971.476
609	909435.9156	1631662.166
610	909348.1528	1631174.128
611	909104.9586	1630725.285
612	909025.6761	1630611.906
613	908970.4073	1630410.404
614	908836.8225	1630040.607
615	908479.8463	1629819.424
616	908453.8322	1629766.682
617	908446.8407	1629709.1
618	908387.767	1629508.643
619	908025.9328	1629120.818
620	907788.7813	1628898.168
621	907758.7345	1628867.149
622	907677.1674	1628535.409
623	907552.8504	1628322.268
624	907494.2184	1628065.218
625	907044.4025	1627682.112
626	906986.5037	1627480.639
627	906957.8968	1627322.298
628	906921.5442	1627273.133
629	906594.5922	1626923.582
630	906419.9231	1626611.734
631	906325.4718	1626502.816
632	906162.0584	1626152.767
633	906138.668	1626071.075
634	906067.579	1625725.93
635	906018.0008	1625675.301
636	905948.0802	1625373.688
637	905893.005	1625169.109
638	905549.5033	1624747.2
639	905498.0602	1624508.212
640	905444.8673	1624436.757
641	905186.7708	1623971.955
642	905158.2357	1623905.729
643	905085.8688	1623506.247
644	905055.5342	1623368.485
645	904866.5385	1623174.174
646	904473.1437	1622831.819
647	904321.9504	1622588.966
648	904282.9135	1622460.144
649	904213.1953	1622176.582
650	904186.9407	1622148.84
651	904116.1636	1621801.725
652	903798.8133	1621369.792
653	903767.3108	1621208.379
654	903739.6722	1621084.14
655	903722.867	1620969.166
656	903650.7426	1620688.266
657	903593.1331	1620536.47
658	903521.3198	1620290.691
659	903272.6453	1619961.687
660	903022.9449	1619570.434
661	903010.901	1619523.695
662	902922.2169	1619232.043
663	902859.3911	1619044.877
664	902817.671	1618908.775
665	902716.9296	1618730.637
666	902486.3671	1618349.968
667	902481.4941	1618313.108
668	902339.4057	1618024.669
669	902298.9706	1617897.475
670	902189.4081	1617699.338
671	902142.0384	1617518.659
672	901951.8261	1617113.705
673	901686.294	1616678.724
674	901441.7221	1616242.429
675	901041.6979	1615961.785
676	900810.8935	1615746.051
677	900792.7895	1615658.609
678	900620.6186	1615442.06
679	900609.8503	1615397.857
680	900262.9571	1615080.487
681	900155.5746	1614891.111
682	900005.7396	1614801.461
683	899929.1526	1614463.081
684	899800.8539	1614215.855
685	899713.2941	1614034.097
686	899706.8743	1613999.593
687	899655.064	1613872.436
688	899268.9114	1613402.554
689	898950.8623	1613112.63
690	898941.5026	1613065.293
691	898596.9744	1612728.411
692	898262.9365	1612050.818
693	898053.5544	1611546.194
694	897942.2267	1611391.044
695	897902.6667	1611190.391
696	897765.674	1610992.321
697	897695.1545	1610929.431
698	897499.7893	1610667.142
699	897491.5549	1610620.77
700	897492.3014	1610583.545
